slice_id,patient_id,baseline_method,clean_x,clean_y,N_5_x,N_5_y,S_5_x,S_5_y,E_5_x,E_5_y,W_5_x,W_5_y,N_10_x,N_10_y,S_10_x,S_10_y,E_10_x,E_10_y,W_10_x,W_10_y
img0026_slice_098,img0026,CoM,254,234,254.0,229.0,254.0,239.0,259.0,234.0,249.0,234.0,254.0,224.0,254.0,244.0,264.0,234.0,244.0,234.0
img0026_slice_099,img0026,CoM,255,234,255.0,229.0,255.0,239.0,260.0,234.0,250.0,234.0,255.0,224.0,255.0,244.0,265.0,234.0,245.0,234.0
img0026_slice_100,img0026,CoM,254,233,254.0,228.0,254.0,238.0,259.0,233.0,249.0,233.0,254.0,223.0,254.0,243.0,264.0,233.0,244.0,233.0
img0026_slice_101,img0026,CoM,256,213,256.0,208.0,256.0,218.0,261.0,213.0,251.0,213.0,,,256.0,223.0,266.0,213.0,246.0,213.0
img0026_slice_102,img0026,CoM,247,209,247.0,204.0,247.0,214.0,252.0,209.0,242.0,209.0,,,247.0,219.0,257.0,209.0,,
img0026_slice_103,img0026,CoM,243,207,,,243.0,212.0,248.0,207.0,,,,,243.0,217.0,253.0,207.0,,
img0026_slice_104,img0026,Distance_Transform,221,147,221.0,142.0,221.0,152.0,226.0,147.0,216.0,147.0,221.0,137.0,221.0,157.0,231.0,147.0,211.0,147.0
img0026_slice_105,img0026,Distance_Transform,203,366,203.0,361.0,203.0,371.0,208.0,366.0,198.0,366.0,203.0,356.0,203.0,376.0,213.0,366.0,193.0,366.0
img0026_slice_106,img0026,Distance_Transform,219,148,219.0,143.0,219.0,153.0,224.0,148.0,214.0,148.0,219.0,138.0,219.0,158.0,229.0,148.0,209.0,148.0
img0026_slice_107,img0026,Distance_Transform,203,366,203.0,361.0,203.0,371.0,208.0,366.0,198.0,366.0,203.0,356.0,203.0,376.0,213.0,366.0,193.0,366.0
img0026_slice_108,img0026,Distance_Transform,202,365,202.0,360.0,202.0,370.0,207.0,365.0,197.0,365.0,202.0,355.0,202.0,375.0,212.0,365.0,192.0,365.0
img0026_slice_109,img0026,Distance_Transform,201,366,201.0,361.0,201.0,371.0,206.0,366.0,196.0,366.0,201.0,356.0,201.0,376.0,211.0,366.0,191.0,366.0
img0026_slice_110,img0026,Distance_Transform,197,368,197.0,363.0,197.0,373.0,202.0,368.0,192.0,368.0,197.0,358.0,197.0,378.0,207.0,368.0,187.0,368.0
img0026_slice_111,img0026,Distance_Transform,209,146,209.0,141.0,209.0,151.0,214.0,146.0,204.0,146.0,209.0,136.0,209.0,156.0,219.0,146.0,199.0,146.0
img0026_slice_112,img0026,Distance_Transform,275,88,275.0,83.0,275.0,93.0,280.0,88.0,270.0,88.0,275.0,78.0,275.0,98.0,285.0,88.0,265.0,88.0
img0026_slice_113,img0026,Distance_Transform,278,90,278.0,85.0,278.0,95.0,283.0,90.0,273.0,90.0,278.0,80.0,278.0,100.0,288.0,90.0,268.0,90.0
img0026_slice_114,img0026,Distance_Transform,275,90,275.0,85.0,275.0,95.0,280.0,90.0,270.0,90.0,275.0,80.0,275.0,100.0,285.0,90.0,265.0,90.0
img0026_slice_115,img0026,Distance_Transform,288,97,288.0,92.0,288.0,102.0,293.0,97.0,283.0,97.0,288.0,87.0,288.0,107.0,298.0,97.0,278.0,97.0
img0026_slice_116,img0026,Distance_Transform,277,91,277.0,86.0,277.0,96.0,282.0,91.0,272.0,91.0,277.0,81.0,277.0,101.0,287.0,91.0,267.0,91.0
img0026_slice_117,img0026,Distance_Transform,282,95,282.0,90.0,282.0,100.0,287.0,95.0,277.0,95.0,282.0,85.0,282.0,105.0,292.0,95.0,272.0,95.0
img0026_slice_118,img0026,Distance_Transform,283,96,283.0,91.0,283.0,101.0,288.0,96.0,278.0,96.0,283.0,86.0,283.0,106.0,293.0,96.0,273.0,96.0
img0026_slice_119,img0026,Distance_Transform,283,98,283.0,93.0,283.0,103.0,288.0,98.0,278.0,98.0,283.0,88.0,283.0,108.0,293.0,98.0,273.0,98.0
img0026_slice_120,img0026,Distance_Transform,281,98,281.0,93.0,281.0,103.0,286.0,98.0,276.0,98.0,281.0,88.0,281.0,108.0,291.0,98.0,271.0,98.0
img0026_slice_121,img0026,Distance_Transform,285,99,285.0,94.0,285.0,104.0,290.0,99.0,280.0,99.0,285.0,89.0,285.0,109.0,295.0,99.0,275.0,99.0
img0026_slice_122,img0026,Distance_Transform,277,98,277.0,93.0,277.0,103.0,282.0,98.0,272.0,98.0,277.0,88.0,277.0,108.0,287.0,98.0,267.0,98.0
img0026_slice_123,img0026,Distance_Transform,277,99,277.0,94.0,277.0,104.0,282.0,99.0,272.0,99.0,277.0,89.0,277.0,109.0,287.0,99.0,267.0,99.0
img0026_slice_124,img0026,Distance_Transform,277,99,277.0,94.0,277.0,104.0,282.0,99.0,272.0,99.0,277.0,89.0,277.0,109.0,287.0,99.0,267.0,99.0
img0026_slice_125,img0026,Distance_Transform,276,100,276.0,95.0,276.0,105.0,281.0,100.0,271.0,100.0,276.0,90.0,276.0,110.0,286.0,100.0,266.0,100.0
img0026_slice_126,img0026,Distance_Transform,275,101,275.0,96.0,275.0,106.0,280.0,101.0,270.0,101.0,275.0,91.0,275.0,111.0,285.0,101.0,265.0,101.0
img0026_slice_127,img0026,Distance_Transform,270,100,270.0,95.0,270.0,105.0,275.0,100.0,265.0,100.0,270.0,90.0,270.0,110.0,280.0,100.0,260.0,100.0
img0026_slice_128,img0026,CoM,247,189,,,247.0,194.0,252.0,189.0,,,,,247.0,199.0,257.0,189.0,,
img0026_slice_129,img0026,CoM,250,191,250.0,186.0,250.0,196.0,255.0,191.0,245.0,191.0,,,250.0,201.0,260.0,191.0,240.0,191.0
img0026_slice_130,img0026,CoM,253,197,253.0,192.0,253.0,202.0,258.0,197.0,248.0,197.0,,,253.0,207.0,263.0,197.0,243.0,197.0
img0026_slice_131,img0026,CoM,254,203,254.0,198.0,254.0,208.0,259.0,203.0,249.0,203.0,254.0,193.0,254.0,213.0,264.0,203.0,244.0,203.0
img0026_slice_132,img0026,CoM,256,207,256.0,202.0,256.0,212.0,261.0,207.0,251.0,207.0,256.0,197.0,256.0,217.0,266.0,207.0,246.0,207.0
img0026_slice_133,img0026,CoM,261,210,261.0,205.0,261.0,215.0,266.0,210.0,256.0,210.0,261.0,200.0,261.0,220.0,271.0,210.0,251.0,210.0
img0026_slice_134,img0026,CoM,262,213,262.0,208.0,262.0,218.0,267.0,213.0,257.0,213.0,262.0,203.0,262.0,223.0,272.0,213.0,252.0,213.0
img0026_slice_135,img0026,CoM,263,215,263.0,210.0,263.0,220.0,268.0,215.0,258.0,215.0,263.0,205.0,,,273.0,215.0,253.0,215.0
img0026_slice_136,img0026,Distance_Transform,309,110,309.0,105.0,309.0,115.0,314.0,110.0,304.0,110.0,309.0,100.0,309.0,120.0,319.0,110.0,299.0,110.0
img0026_slice_137,img0026,CoM,267,217,267.0,212.0,267.0,222.0,272.0,217.0,262.0,217.0,267.0,207.0,267.0,227.0,277.0,217.0,257.0,217.0
img0026_slice_138,img0026,CoM,268,219,268.0,214.0,268.0,224.0,273.0,219.0,263.0,219.0,268.0,209.0,268.0,229.0,278.0,219.0,258.0,219.0
img0026_slice_139,img0026,CoM,269,221,269.0,216.0,269.0,226.0,274.0,221.0,,,269.0,211.0,269.0,231.0,279.0,221.0,259.0,221.0
img0026_slice_140,img0026,CoM,269,220,269.0,215.0,269.0,225.0,274.0,220.0,264.0,220.0,269.0,210.0,269.0,230.0,279.0,220.0,259.0,220.0
img0026_slice_141,img0026,CoM,268,221,268.0,216.0,268.0,226.0,273.0,221.0,263.0,221.0,268.0,211.0,268.0,231.0,278.0,221.0,258.0,221.0
img0026_slice_142,img0026,CoM,269,223,269.0,218.0,269.0,228.0,274.0,223.0,264.0,223.0,269.0,213.0,269.0,233.0,279.0,223.0,259.0,223.0
img0026_slice_143,img0026,CoM,268,220,268.0,215.0,268.0,225.0,273.0,220.0,263.0,220.0,268.0,210.0,268.0,230.0,278.0,220.0,258.0,220.0
img0026_slice_144,img0026,CoM,266,223,266.0,218.0,266.0,228.0,271.0,223.0,261.0,223.0,266.0,213.0,266.0,233.0,276.0,223.0,256.0,223.0
img0026_slice_145,img0026,CoM,265,227,265.0,222.0,265.0,232.0,270.0,227.0,260.0,227.0,265.0,217.0,265.0,237.0,275.0,227.0,255.0,227.0
img0026_slice_146,img0026,CoM,262,229,262.0,224.0,262.0,234.0,267.0,229.0,257.0,229.0,262.0,219.0,262.0,239.0,272.0,229.0,252.0,229.0
img0026_slice_147,img0026,CoM,262,228,262.0,223.0,262.0,233.0,267.0,228.0,257.0,228.0,262.0,218.0,262.0,238.0,272.0,228.0,252.0,228.0
img0026_slice_148,img0026,CoM,261,229,261.0,224.0,261.0,234.0,266.0,229.0,256.0,229.0,261.0,219.0,261.0,239.0,271.0,229.0,251.0,229.0
img0026_slice_149,img0026,CoM,260,230,260.0,225.0,260.0,235.0,265.0,230.0,255.0,230.0,260.0,220.0,260.0,240.0,270.0,230.0,,
img0026_slice_150,img0026,CoM,259,230,259.0,225.0,259.0,235.0,264.0,230.0,254.0,230.0,259.0,220.0,259.0,240.0,269.0,230.0,249.0,230.0
img0026_slice_151,img0026,CoM,259,230,259.0,225.0,259.0,235.0,264.0,230.0,254.0,230.0,259.0,220.0,259.0,240.0,269.0,230.0,249.0,230.0
img0026_slice_152,img0026,CoM,259,228,259.0,223.0,259.0,233.0,264.0,228.0,254.0,228.0,259.0,218.0,259.0,238.0,269.0,228.0,249.0,228.0
img0026_slice_153,img0026,CoM,258,224,258.0,219.0,258.0,229.0,263.0,224.0,253.0,224.0,258.0,214.0,258.0,234.0,268.0,224.0,248.0,224.0
img0026_slice_154,img0026,CoM,258,221,258.0,216.0,258.0,226.0,263.0,221.0,253.0,221.0,258.0,211.0,258.0,231.0,268.0,221.0,248.0,221.0
img0026_slice_155,img0026,CoM,257,217,257.0,212.0,257.0,222.0,262.0,217.0,252.0,217.0,257.0,207.0,257.0,227.0,,,247.0,217.0
img0026_slice_156,img0026,CoM,257,211,257.0,206.0,257.0,216.0,262.0,211.0,252.0,211.0,257.0,201.0,257.0,221.0,267.0,211.0,247.0,211.0
img0026_slice_157,img0026,CoM,259,206,259.0,201.0,259.0,211.0,264.0,206.0,254.0,206.0,259.0,196.0,259.0,216.0,269.0,206.0,249.0,206.0
img0026_slice_158,img0026,CoM,260,201,260.0,196.0,260.0,206.0,265.0,201.0,255.0,201.0,260.0,191.0,260.0,211.0,270.0,201.0,250.0,201.0
img0026_slice_159,img0026,CoM,262,195,262.0,190.0,262.0,200.0,267.0,195.0,257.0,195.0,262.0,185.0,262.0,205.0,272.0,195.0,252.0,195.0
img0026_slice_160,img0026,CoM,266,183,266.0,178.0,266.0,188.0,271.0,183.0,261.0,183.0,266.0,173.0,266.0,193.0,276.0,183.0,256.0,183.0
img0026_slice_161,img0026,CoM,271,168,271.0,163.0,271.0,173.0,276.0,168.0,266.0,168.0,271.0,158.0,271.0,178.0,281.0,168.0,261.0,168.0
img0026_slice_162,img0026,CoM,274,158,274.0,153.0,274.0,163.0,279.0,158.0,269.0,158.0,274.0,148.0,274.0,168.0,284.0,158.0,264.0,158.0
img0026_slice_163,img0026,CoM,277,151,277.0,146.0,277.0,156.0,282.0,151.0,272.0,151.0,277.0,141.0,277.0,161.0,287.0,151.0,267.0,151.0
img0026_slice_164,img0026,CoM,277,154,277.0,149.0,277.0,159.0,282.0,154.0,272.0,154.0,277.0,144.0,277.0,164.0,287.0,154.0,267.0,154.0
img0026_slice_165,img0026,CoM,277,155,277.0,150.0,277.0,160.0,282.0,155.0,272.0,155.0,277.0,145.0,277.0,165.0,287.0,155.0,267.0,155.0
img0026_slice_166,img0026,CoM,276,160,276.0,155.0,276.0,165.0,281.0,160.0,271.0,160.0,276.0,150.0,276.0,170.0,286.0,160.0,266.0,160.0
img0026_slice_167,img0026,Distance_Transform,289,133,289.0,128.0,289.0,138.0,294.0,133.0,284.0,133.0,289.0,123.0,289.0,143.0,299.0,133.0,279.0,133.0
img0026_slice_168,img0026,Distance_Transform,293,135,293.0,130.0,293.0,140.0,298.0,135.0,288.0,135.0,293.0,125.0,293.0,145.0,303.0,135.0,283.0,135.0
img0026_slice_169,img0026,CoM,222,273,,,222.0,278.0,,,217.0,273.0,,,222.0,283.0,,,212.0,273.0
img0026_slice_170,img0026,CoM,222,273,,,222.0,278.0,,,217.0,273.0,,,222.0,283.0,,,212.0,273.0
img0026_slice_171,img0026,CoM,221,273,,,221.0,278.0,,,216.0,273.0,,,221.0,283.0,231.0,273.0,211.0,273.0
img0026_slice_172,img0026,CoM,221,273,,,221.0,278.0,,,216.0,273.0,,,221.0,283.0,,,211.0,273.0
img0026_slice_173,img0026,CoM,221,273,,,221.0,278.0,,,216.0,273.0,,,221.0,283.0,,,211.0,273.0
img0026_slice_174,img0026,CoM,220,274,,,220.0,279.0,,,215.0,274.0,,,220.0,284.0,,,210.0,274.0
img0026_slice_175,img0026,CoM,218,274,218.0,269.0,218.0,279.0,223.0,274.0,213.0,274.0,,,218.0,284.0,,,208.0,274.0
img0026_slice_176,img0026,CoM,219,275,,,219.0,280.0,224.0,275.0,214.0,275.0,,,219.0,285.0,,,209.0,275.0
img0026_slice_177,img0026,CoM,220,274,,,220.0,279.0,225.0,274.0,215.0,274.0,,,220.0,284.0,,,210.0,274.0
img0026_slice_178,img0026,Distance_Transform,309,274,309.0,269.0,309.0,279.0,314.0,274.0,304.0,274.0,309.0,264.0,309.0,284.0,319.0,274.0,299.0,274.0
img0026_slice_179,img0026,Distance_Transform,310,271,310.0,266.0,310.0,276.0,315.0,271.0,305.0,271.0,310.0,261.0,310.0,281.0,320.0,271.0,300.0,271.0
img0026_slice_180,img0026,Distance_Transform,312,269,312.0,264.0,312.0,274.0,317.0,269.0,307.0,269.0,312.0,259.0,312.0,279.0,322.0,269.0,302.0,269.0
img0026_slice_181,img0026,Distance_Transform,313,263,313.0,258.0,313.0,268.0,318.0,263.0,308.0,263.0,313.0,253.0,313.0,273.0,323.0,263.0,303.0,263.0
img0026_slice_182,img0026,Distance_Transform,308,262,308.0,257.0,308.0,267.0,313.0,262.0,303.0,262.0,308.0,252.0,308.0,272.0,318.0,262.0,298.0,262.0
img0026_slice_183,img0026,Distance_Transform,308,263,308.0,258.0,308.0,268.0,313.0,263.0,303.0,263.0,308.0,253.0,308.0,273.0,318.0,263.0,298.0,263.0
img0025_slice_046,img0025,CoM,283,249,283.0,244.0,283.0,254.0,288.0,249.0,278.0,249.0,283.0,239.0,283.0,259.0,,,,
img0025_slice_047,img0025,CoM,284,248,284.0,243.0,284.0,253.0,289.0,248.0,279.0,248.0,284.0,238.0,284.0,258.0,,,,
img0025_slice_048,img0025,CoM,285,256,285.0,251.0,285.0,261.0,,,280.0,256.0,285.0,246.0,285.0,266.0,,,,
img0025_slice_049,img0025,CoM,284,255,284.0,250.0,284.0,260.0,289.0,255.0,279.0,255.0,284.0,245.0,284.0,265.0,,,,
img0025_slice_050,img0025,Distance_Transform,283,246,283.0,241.0,283.0,251.0,288.0,246.0,278.0,246.0,283.0,236.0,283.0,256.0,293.0,246.0,273.0,246.0
img0025_slice_051,img0025,Distance_Transform,282,164,282.0,159.0,282.0,169.0,287.0,164.0,277.0,164.0,282.0,154.0,282.0,174.0,292.0,164.0,272.0,164.0
img0025_slice_052,img0025,Distance_Transform,283,163,283.0,158.0,283.0,168.0,288.0,163.0,278.0,163.0,283.0,153.0,283.0,173.0,293.0,163.0,273.0,163.0
img0025_slice_053,img0025,Distance_Transform,285,163,285.0,158.0,285.0,168.0,290.0,163.0,280.0,163.0,285.0,153.0,285.0,173.0,295.0,163.0,275.0,163.0
img0025_slice_054,img0025,Distance_Transform,287,164,287.0,159.0,287.0,169.0,292.0,164.0,282.0,164.0,287.0,154.0,287.0,174.0,297.0,164.0,277.0,164.0
img0025_slice_055,img0025,Distance_Transform,287,164,287.0,159.0,287.0,169.0,292.0,164.0,282.0,164.0,287.0,154.0,287.0,174.0,297.0,164.0,277.0,164.0
img0025_slice_056,img0025,Distance_Transform,288,163,288.0,158.0,288.0,168.0,293.0,163.0,283.0,163.0,288.0,153.0,288.0,173.0,298.0,163.0,278.0,163.0
img0025_slice_057,img0025,CoM,267,202,267.0,197.0,267.0,207.0,,,262.0,202.0,267.0,192.0,,,,,257.0,202.0
img0025_slice_058,img0025,CoM,265,205,265.0,200.0,,,,,260.0,205.0,265.0,195.0,,,,,255.0,205.0
img0025_slice_059,img0025,CoM,264,207,264.0,202.0,264.0,212.0,269.0,207.0,259.0,207.0,264.0,197.0,,,,,254.0,207.0
img0025_slice_060,img0025,CoM,263,209,263.0,204.0,,,,,258.0,209.0,263.0,199.0,,,,,253.0,209.0
img0025_slice_061,img0025,CoM,262,207,262.0,202.0,,,267.0,207.0,257.0,207.0,262.0,197.0,,,,,252.0,207.0
img0025_slice_062,img0025,CoM,262,200,262.0,195.0,262.0,205.0,267.0,200.0,257.0,200.0,262.0,190.0,,,,,252.0,200.0
img0025_slice_063,img0025,CoM,263,195,263.0,190.0,263.0,200.0,,,258.0,195.0,,,263.0,205.0,,,253.0,195.0
img0025_slice_064,img0025,Distance_Transform,287,158,287.0,153.0,287.0,163.0,292.0,158.0,282.0,158.0,287.0,148.0,287.0,168.0,297.0,158.0,277.0,158.0
img0025_slice_065,img0025,Distance_Transform,288,161,288.0,156.0,288.0,166.0,293.0,161.0,283.0,161.0,288.0,151.0,288.0,171.0,298.0,161.0,278.0,161.0
img0025_slice_066,img0025,Distance_Transform,287,161,287.0,156.0,287.0,166.0,292.0,161.0,282.0,161.0,287.0,151.0,287.0,171.0,297.0,161.0,277.0,161.0
img0025_slice_067,img0025,Distance_Transform,288,161,288.0,156.0,288.0,166.0,293.0,161.0,283.0,161.0,288.0,151.0,288.0,171.0,298.0,161.0,278.0,161.0
img0025_slice_068,img0025,CoM,264,222,264.0,217.0,264.0,227.0,269.0,222.0,259.0,222.0,,,264.0,232.0,274.0,222.0,,
img0025_slice_069,img0025,CoM,265,222,265.0,217.0,265.0,227.0,270.0,222.0,260.0,222.0,,,265.0,232.0,275.0,222.0,,
img0025_slice_070,img0025,CoM,266,226,266.0,221.0,266.0,231.0,271.0,226.0,261.0,226.0,,,266.0,236.0,276.0,226.0,,
img0025_slice_071,img0025,CoM,268,230,268.0,225.0,268.0,235.0,273.0,230.0,263.0,230.0,,,268.0,240.0,278.0,230.0,258.0,230.0
img0025_slice_072,img0025,CoM,270,231,270.0,226.0,270.0,236.0,275.0,231.0,265.0,231.0,270.0,221.0,270.0,241.0,280.0,231.0,260.0,231.0
img0025_slice_073,img0025,CoM,271,234,271.0,229.0,271.0,239.0,276.0,234.0,266.0,234.0,271.0,224.0,271.0,244.0,281.0,234.0,261.0,234.0
img0025_slice_074,img0025,CoM,271,234,271.0,229.0,271.0,239.0,276.0,234.0,266.0,234.0,271.0,224.0,271.0,244.0,281.0,234.0,261.0,234.0
img0025_slice_075,img0025,CoM,270,232,270.0,227.0,270.0,237.0,275.0,232.0,265.0,232.0,270.0,222.0,270.0,242.0,280.0,232.0,260.0,232.0
img0025_slice_076,img0025,CoM,274,232,274.0,227.0,274.0,237.0,279.0,232.0,269.0,232.0,274.0,222.0,274.0,242.0,284.0,232.0,264.0,232.0
img0025_slice_077,img0025,CoM,274,236,274.0,231.0,274.0,241.0,279.0,236.0,269.0,236.0,274.0,226.0,274.0,246.0,284.0,236.0,264.0,236.0
img0025_slice_078,img0025,CoM,274,236,274.0,231.0,274.0,241.0,279.0,236.0,269.0,236.0,274.0,226.0,274.0,246.0,284.0,236.0,264.0,236.0
img0025_slice_079,img0025,CoM,274,238,274.0,233.0,274.0,243.0,279.0,238.0,269.0,238.0,274.0,228.0,274.0,248.0,284.0,238.0,264.0,238.0
img0025_slice_080,img0025,CoM,274,238,274.0,233.0,274.0,243.0,279.0,238.0,269.0,238.0,274.0,228.0,274.0,248.0,284.0,238.0,264.0,238.0
img0025_slice_081,img0025,CoM,274,239,274.0,234.0,274.0,244.0,279.0,239.0,269.0,239.0,274.0,229.0,274.0,249.0,284.0,239.0,264.0,239.0
img0025_slice_082,img0025,CoM,273,237,273.0,232.0,273.0,242.0,278.0,237.0,268.0,237.0,273.0,227.0,273.0,247.0,283.0,237.0,263.0,237.0
img0025_slice_083,img0025,CoM,274,237,274.0,232.0,274.0,242.0,279.0,237.0,269.0,237.0,274.0,227.0,274.0,247.0,284.0,237.0,264.0,237.0
img0025_slice_084,img0025,CoM,268,227,268.0,222.0,268.0,232.0,273.0,227.0,263.0,227.0,268.0,217.0,268.0,237.0,278.0,227.0,258.0,227.0
img0025_slice_085,img0025,CoM,265,221,265.0,216.0,265.0,226.0,270.0,221.0,260.0,221.0,265.0,211.0,265.0,231.0,275.0,221.0,255.0,221.0
img0025_slice_086,img0025,CoM,266,214,266.0,209.0,266.0,219.0,271.0,214.0,261.0,214.0,266.0,204.0,266.0,224.0,276.0,214.0,,
img0025_slice_087,img0025,CoM,270,197,270.0,192.0,,,275.0,197.0,,,270.0,187.0,,,280.0,197.0,,
img0025_slice_088,img0025,Distance_Transform,239,270,239.0,265.0,239.0,275.0,244.0,270.0,234.0,270.0,239.0,260.0,239.0,280.0,249.0,270.0,229.0,270.0
img0025_slice_089,img0025,CoM,253,252,253.0,247.0,253.0,257.0,,,248.0,252.0,,,,,,,,
img0025_slice_090,img0025,CoM,250,253,250.0,248.0,250.0,258.0,,,245.0,253.0,250.0,243.0,,,,,,
img0025_slice_091,img0025,CoM,244,258,244.0,253.0,244.0,263.0,249.0,258.0,,,244.0,248.0,244.0,268.0,,,,
img0025_slice_092,img0025,CoM,238,263,238.0,258.0,238.0,268.0,243.0,263.0,233.0,263.0,,,238.0,273.0,,,228.0,263.0
img0025_slice_093,img0025,CoM,238,264,,,238.0,269.0,243.0,264.0,233.0,264.0,,,238.0,274.0,,,228.0,264.0
img0027_slice_052,img0027,CoM,246,226,246.0,221.0,246.0,231.0,251.0,226.0,241.0,226.0,246.0,216.0,246.0,236.0,256.0,226.0,236.0,226.0
img0027_slice_053,img0027,CoM,247,227,247.0,222.0,247.0,232.0,252.0,227.0,242.0,227.0,247.0,217.0,247.0,237.0,257.0,227.0,237.0,227.0
img0027_slice_054,img0027,CoM,248,244,248.0,239.0,248.0,249.0,253.0,244.0,,,248.0,234.0,248.0,254.0,258.0,244.0,,
img0027_slice_055,img0027,CoM,241,221,241.0,216.0,241.0,226.0,246.0,221.0,,,,,241.0,231.0,251.0,221.0,,
img0027_slice_056,img0027,Distance_Transform,223,335,223.0,330.0,223.0,340.0,228.0,335.0,218.0,335.0,223.0,325.0,223.0,345.0,233.0,335.0,213.0,335.0
img0027_slice_057,img0027,Distance_Transform,220,337,220.0,332.0,220.0,342.0,225.0,337.0,215.0,337.0,220.0,327.0,220.0,347.0,230.0,337.0,210.0,337.0
img0027_slice_058,img0027,Distance_Transform,214,342,214.0,337.0,214.0,347.0,219.0,342.0,209.0,342.0,214.0,332.0,214.0,352.0,224.0,342.0,204.0,342.0
img0027_slice_059,img0027,Distance_Transform,213,342,213.0,337.0,213.0,347.0,218.0,342.0,208.0,342.0,213.0,332.0,213.0,352.0,223.0,342.0,203.0,342.0
img0027_slice_060,img0027,Distance_Transform,271,82,271.0,77.0,271.0,87.0,276.0,82.0,266.0,82.0,271.0,72.0,271.0,92.0,281.0,82.0,261.0,82.0
img0027_slice_061,img0027,Distance_Transform,277,85,277.0,80.0,277.0,90.0,282.0,85.0,272.0,85.0,277.0,75.0,277.0,95.0,287.0,85.0,267.0,85.0
img0027_slice_062,img0027,Distance_Transform,278,87,278.0,82.0,278.0,92.0,283.0,87.0,273.0,87.0,278.0,77.0,278.0,97.0,288.0,87.0,268.0,87.0
img0027_slice_063,img0027,Distance_Transform,270,85,270.0,80.0,270.0,90.0,275.0,85.0,265.0,85.0,270.0,75.0,270.0,95.0,280.0,85.0,260.0,85.0
img0027_slice_064,img0027,Distance_Transform,282,94,282.0,89.0,282.0,99.0,287.0,94.0,277.0,94.0,282.0,84.0,282.0,104.0,292.0,94.0,272.0,94.0
img0027_slice_065,img0027,Distance_Transform,278,94,278.0,89.0,278.0,99.0,283.0,94.0,273.0,94.0,278.0,84.0,278.0,104.0,288.0,94.0,268.0,94.0
img0027_slice_066,img0027,CoM,259,188,,,259.0,193.0,264.0,188.0,,,,,259.0,198.0,269.0,188.0,,
img0027_slice_067,img0027,CoM,263,200,263.0,195.0,263.0,205.0,268.0,200.0,258.0,200.0,263.0,190.0,263.0,210.0,273.0,200.0,253.0,200.0
img0027_slice_068,img0027,CoM,265,211,265.0,206.0,265.0,216.0,270.0,211.0,260.0,211.0,265.0,201.0,265.0,221.0,275.0,211.0,255.0,211.0
img0027_slice_069,img0027,CoM,263,217,263.0,212.0,263.0,222.0,268.0,217.0,258.0,217.0,263.0,207.0,263.0,227.0,273.0,217.0,253.0,217.0
img0027_slice_070,img0027,CoM,262,224,262.0,219.0,262.0,229.0,267.0,224.0,,,262.0,214.0,262.0,234.0,272.0,224.0,252.0,224.0
img0027_slice_071,img0027,CoM,263,223,263.0,218.0,263.0,228.0,268.0,223.0,258.0,223.0,,,263.0,233.0,273.0,223.0,253.0,223.0
img0027_slice_072,img0027,CoM,264,221,264.0,216.0,264.0,226.0,269.0,221.0,259.0,221.0,,,264.0,231.0,274.0,221.0,254.0,221.0
img0027_slice_073,img0027,CoM,264,217,,,264.0,222.0,269.0,217.0,259.0,217.0,,,264.0,227.0,274.0,217.0,254.0,217.0
